,departamento,tipo01,casesum
0,AMAZONAS,Educación/Cultura,3
1,AMAZONAS,Transportes Y Comunicaciones,2
2,AMAZONAS,Vivienda Construcción Y Saneamiento,8
3,ANCASH,Agricultura,3
4,ANCASH,Educación/Cultura,3
5,ANCASH,Transportes Y Comunicaciones,10
6,APURIMAC,Educación/Cultura,10
7,APURIMAC,Salud,2
8,APURIMAC,Transportes Y Comunicaciones,3
9,AREQUIPA,Educación/Cultura,2
10,AREQUIPA,Transportes Y Comunicaciones,12
11,AYACUCHO,Agricultura,3
12,AYACUCHO,Educación/Cultura,5
13,AYACUCHO,Otras Infraestructuras,2
14,AYACUCHO,Transportes Y Comunicaciones,4
15,CAJAMARCA,Educación/Cultura,3
16,CAJAMARCA,Energía Y Minas,1
17,CAJAMARCA,Transportes Y Comunicaciones,1
18,CAJAMARCA,Vivienda Construcción Y Saneamiento,9
19,CUSCO,Educación/Cultura,5
20,CUSCO,Transportes Y Comunicaciones,7
21,CUSCO,Vivienda Construcción Y Saneamiento,4
22,HUANCAVELICA,Agricultura,1
23,HUANCAVELICA,Educación/Cultura,8
24,HUANCAVELICA,Transportes Y Comunicaciones,3
25,HUANCAVELICA,Vivienda Construcción Y Saneamiento,1
26,HUANUCO,Agricultura,1
27,HUANUCO,Educación/Cultura,8
28,HUANUCO,Otras Infraestructuras,1
29,HUANUCO,Transportes Y Comunicaciones,2
30,HUANUCO,Vivienda Construcción Y Saneamiento,1
31,ICA,Agricultura,2
32,ICA,Educación/Cultura,3
33,ICA,Otras Infraestructuras,1
34,ICA,Protección/Readaptación Social,1
35,ICA,Salud,1
36,ICA,Transportes Y Comunicaciones,6
37,ICA,Vivienda Construcción Y Saneamiento,1
38,JUNIN,Educación/Cultura,3
39,JUNIN,Salud,1
40,JUNIN,Transportes Y Comunicaciones,6
41,JUNIN,Vivienda Construcción Y Saneamiento,6
42,LA LIBERTAD,Agricultura,2
43,LA LIBERTAD,Educación/Cultura,7
44,LA LIBERTAD,Transportes Y Comunicaciones,4
45,LA LIBERTAD,Vivienda Construcción Y Saneamiento,1
46,LAMBAYEQUE,Educación/Cultura,4
47,LAMBAYEQUE,Transportes Y Comunicaciones,5
48,LAMBAYEQUE,Vivienda Construcción Y Saneamiento,4
49,LIMA,Agricultura,2
50,LIMA,Educación/Cultura,4
51,LIMA,Transportes Y Comunicaciones,11
52,LIMA,Vivienda Construcción Y Saneamiento,1
53,LORETO,Educación/Cultura,3
54,LORETO,Transportes Y Comunicaciones,4
55,LORETO,Vivienda Construcción Y Saneamiento,6
56,MADRE DE DIOS,Agricultura,1
57,MADRE DE DIOS,Educación/Cultura,6
58,MADRE DE DIOS,Otras Infraestructuras,1
59,MADRE DE DIOS,Salud,1
60,MADRE DE DIOS,Transportes Y Comunicaciones,2
61,MADRE DE DIOS,Vivienda Construcción Y Saneamiento,2
62,MOQUEGUA,Agricultura,3
63,MOQUEGUA,Educación/Cultura,6
64,MOQUEGUA,Otras Infraestructuras,2
65,MOQUEGUA,Transportes Y Comunicaciones,4
66,P C DEL CALLAO,Educación/Cultura,6
67,P C DEL CALLAO,Orden Público/Defensa Y Seguridad,2
68,P C DEL CALLAO,Otras Infraestructuras,3
69,P C DEL CALLAO,Transportes Y Comunicaciones,2
70,PASCO,Educación/Cultura,5
71,PASCO,Transportes Y Comunicaciones,8
72,PASCO,Vivienda Construcción Y Saneamiento,1
73,PIURA,Educación/Cultura,6
74,PIURA,Transportes Y Comunicaciones,4
75,PIURA,Vivienda Construcción Y Saneamiento,3
76,PUNO,Educación/Cultura,7
77,PUNO,Transportes Y Comunicaciones,6
78,SAN MARTIN,Educación/Cultura,6
79,SAN MARTIN,Transportes Y Comunicaciones,3
80,SAN MARTIN,Vivienda Construcción Y Saneamiento,5
81,TACNA,Agricultura,1
82,TACNA,Educación/Cultura,10
83,TACNA,Otras Infraestructuras,3
84,TACNA,Transportes Y Comunicaciones,1
85,TUMBES,Agricultura,2
86,TUMBES,Educación/Cultura,4
87,TUMBES,Orden Público/Defensa Y Seguridad,1
88,TUMBES,Otras Infraestructuras,3
89,TUMBES,Transportes Y Comunicaciones,3
90,UCAYALI,Educación/Cultura,2
91,UCAYALI,Salud,1
92,UCAYALI,Transportes Y Comunicaciones,5
93,UCAYALI,Vivienda Construcción Y Saneamiento,5
