departamento,provincia,casesum
AMAZONAS,BAGUA,4
AMAZONAS,CHACHAPOYAS,3
AMAZONAS,LUYA,1
AMAZONAS,UTCUBAMBA,5
ANCASH,ANTONIO RAYMONDI,1
ANCASH,CARHUAZ,1
ANCASH,HUARAZ,4
ANCASH,HUARI,7
ANCASH,RECUAY,1
ANCASH,SANTA,2
APURIMAC,ABANCAY,9
APURIMAC,ANDAHUAYLAS,1
APURIMAC,COTABAMBAS,5
AREQUIPA,AREQUIPA,14
AYACUCHO,CANGALLO,1
AYACUCHO,HUAMANGA,7
AYACUCHO,HUANCA SANCOS,1
AYACUCHO,HUANTA,4
AYACUCHO,LA MAR,1
CAJAMARCA,CAJABAMBA,1
CAJAMARCA,CAJAMARCA,6
CAJAMARCA,CHOTA,2
CAJAMARCA,HUALGAYOC,4
CAJAMARCA,SAN MARCOS,1
CUSCO,ANTA,1
CUSCO,CHUMBIVILCAS,2
CUSCO,CUSCO,3
CUSCO,ESPINAR,2
CUSCO,LA CONVENCION,8
HUANCAVELICA,ACOBAMBA,1
HUANCAVELICA,CASTROVIRREYNA,1
HUANCAVELICA,HUANCAVELICA,7
HUANCAVELICA,TAYACAJA,4
HUANUCO,AMBO,1
HUANUCO,HUAMALIES,1
HUANUCO,HUANUCO,8
HUANUCO,LEONCIO PRADO,3
ICA,CHINCHA,1
ICA,ICA,13
ICA,PISCO,1
JUNIN,CHANCHAMAYO,1
JUNIN,HUANCAYO,6
JUNIN,JAUJA,1
JUNIN,SATIPO,8
LA LIBERTAD,ASCOPE,2
LA LIBERTAD,TRUJILLO,11
LA LIBERTAD,VIRU,1
LAMBAYEQUE,CHICLAYO,9
LAMBAYEQUE,LAMBAYEQUE,4
LIMA,HUAROCHIRI,1
LIMA,HUAURA,1
LIMA,LIMA,16
LORETO,ALTO AMAZONAS,1
LORETO,LORETO,2
LORETO,MAYNAS,10
MADRE DE DIOS,MANU,1
MADRE DE DIOS,TAMBOPATA,12
MOQUEGUA,ILO,1
MOQUEGUA,MARISCAL NIETO,14
P C DEL CALLAO,PROV CONST DEL CALLAO,13
PASCO,DANIEL ALCIDES CARRION,1
PASCO,OXAPAMPA,3
PASCO,PASCO,10
PIURA,HUANCABAMBA,1
PIURA,PIURA,11
PIURA,SULLANA,1
PUNO,AZANGARO,2
PUNO,CHUCUITO,1
PUNO,EL COLLAO,3
PUNO,PUNO,5
PUNO,SAN ROMAN,2
SAN MARTIN,LAMAS,1
SAN MARTIN,MARISCAL CACERES,1
SAN MARTIN,MOYOBAMBA,8
SAN MARTIN,RIOJA,4
TACNA,JORGE BASADRE,5
TACNA,TACNA,9
TACNA,TARATA,1
TUMBES,CONTRALMIRANTE VILLAR,1
TUMBES,TUMBES,11
TUMBES,ZARUMILLA,1
UCAYALI,CORONEL PORTILLO,10
UCAYALI,PADRE ABAD,3
